"Invoice Totals Report
1001 : SewLab USA",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
12/27/2017,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
  Date/Time,,Store_ID,,,,Inv #  ,,Cust #,,Cashier ID,PM,Total Cost,Total Price,,Tax1,Tax2,Tax3,Tax4,Tax5,Tax6,,GTotal,Gross,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2017,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2017  12:00: PM,,1001,,,,190,101,,,100101,CC,0.00,51.00,,3.06,0.00,0.00,0.00,0.00,0.00,,54.06,51.00,
12/1/2017  12:05: PM,,1001,,,,191,101,,,100101,CC,0.00,60.00,,3.60,0.00,0.00,0.00,0.00,0.00,,63.60,60.00,
12/1/2017  12:07: PM,,1001,,,,192,101,,,100101,CC,0.00,38.50,,2.31,0.00,0.00,0.00,0.00,0.00,,40.81,38.50,
12/1/2017  12:53: PM,,1001,,,,193,101,,,100101,CA,0.00,0.01,,0.00,0.00,0.00,0.00,0.00,0.00,,0.01,0.01,
12/1/2017  1:20: PM,,1001,,,,194,101,,,100101,CC,0.00,10.00,,0.60,0.00,0.00,0.00,0.00,0.00,,10.60,10.00,
12/1/2017  1:21: PM,,1001,,,,195,101,,,100101,CC,0.00,24.00,,1.44,0.00,0.00,0.00,0.00,0.00,,25.44,24.00,
12/1/2017  1:22: PM,,1001,,,,196,101,,,100101,CA,0.00,15.00,,0.90,0.00,0.00,0.00,0.00,0.00,,15.90,15.00,
12/1/2017  1:25: PM,,1001,,,,197,101,,,100101,CC,0.00,31.00,,1.86,0.00,0.00,0.00,0.00,0.00,,32.86,31.00,
12/1/2017  1:26: PM,,1001,,,,198,101,,,100101,CC,0.00,20.00,,1.20,0.00,0.00,0.00,0.00,0.00,,21.20,20.00,
12/1/2017  1:29: PM,,1001,,,,199,101,,,100101,CA,0.00,6.00,,0.36,0.00,0.00,0.00,0.00,0.00,,6.36,6.00,
12/1/2017  1:38: PM,,1001,,,,200,101,,,100101,CA,0.00,10.00,,0.60,0.00,0.00,0.00,0.00,0.00,,10.60,10.00,
12/1/2017  1:41: PM,,1001,,,,201,101,,,100101,CA,0.00,15.00,,0.90,0.00,0.00,0.00,0.00,0.00,,15.90,15.00,
12/1/2017  2:05: PM,,1001,,,,202,101,,,100101,CA,0.00,74.00,,4.44,0.00,0.00,0.00,0.00,0.00,,78.44,74.00,
12/1/2017  2:41: PM,,1001,,,,203,101,,,100101,CH,0.00,37.00,,2.22,0.00,0.00,0.00,0.00,0.00,,39.22,37.00,
12/1/2017  3:13: PM,,1001,,,,204,101,,,100101,CA,0.00,30.00,,1.80,0.00,0.00,0.00,0.00,0.00,,31.80,30.00,
12/1/2017  3:27: PM,,1001,,,,205,101,,,100101,CH,0.00,25.00,,1.50,0.00,0.00,0.00,0.00,0.00,,26.50,25.00,
12/1/2017  3:30: PM,,1001,,,,206,101,,,100101,CH,0.00,14.00,,0.84,0.00,0.00,0.00,0.00,0.00,,14.84,14.00,
12/1/2017  4:00: PM,,1001,,,,207,101,,,100101,CH,0.00,56.00,,3.36,0.00,0.00,0.00,0.00,0.00,,59.36,56.00,
12/1/2017  4:08: PM,,1001,,,,208,101,,,100101,CC,0.00,15.00,,0.90,0.00,0.00,0.00,0.00,0.00,,15.90,15.00,
12/1/2017  4:17: PM,,1001,,,,209,101,,,100101,CA,0.00,15.00,,0.90,0.00,0.00,0.00,0.00,0.00,,15.90,15.00,
12/1/2017  5:00: PM,,1001,,,,210,101,,,100101,CA,0.00,42.00,,2.52,0.00,0.00,0.00,0.00,0.00,,44.52,42.00,
12/1/2017  5:04: PM,,1001,,,,211,101,,,100101,CC,0.00,48.00,,2.88,0.00,0.00,0.00,0.00,0.00,,50.88,48.00,
12/1/2017  5:11: PM,,1001,,,,212,101,,,100101,CC,0.00,91.00,,5.46,0.00,0.00,0.00,0.00,0.00,,96.46,91.00,
12/1/2017  5:13: PM,,1001,,,,213,101,,,100101,CC,0.00,55.00,,3.30,0.00,0.00,0.00,0.00,0.00,,58.30,55.00,
12/1/2017  5:21: PM,,1001,,,,214,101,,,100101,CC,0.00,30.00,,1.80,0.00,0.00,0.00,0.00,0.00,,31.80,30.00,
12/1/2017  5:22: PM,,1001,,,,215,101,,,100101,CA,0.00,7.00,,0.42,0.00,0.00,0.00,0.00,0.00,,7.42,7.00,
12/1/2017  5:37: PM,,1001,,,,216,101,,,100101,CC,0.00,43.50,,2.61,0.00,0.00,0.00,0.00,0.00,,46.11,43.50,
12/1/2017  5:40: PM,,1001,,,,217,101,,,100101,CC,0.00,75.00,,4.50,0.00,0.00,0.00,0.00,0.00,,79.50,75.00,
12/1/2017  5:41: PM,,1001,,,,218,101,,,100101,CA,0.00,44.00,,2.64,0.00,0.00,0.00,0.00,0.00,,46.64,44.00,
12/1/2017  5:57: PM,,1001,,,,219,101,,,100101,CC,0.00,51.00,,3.06,0.00,0.00,0.00,0.00,0.00,,54.06,51.00,
12/1/2017  5:58: PM,,1001,,,,220,101,,,100101,CC,0.00,24.00,,1.44,0.00,0.00,0.00,0.00,0.00,,25.44,24.00,
12/1/2017  6:02: PM,,1001,,,,221,101,,,100101,CC,0.00,104.00,,6.24,0.00,0.00,0.00,0.00,0.00,,110.24,104.00,
12/1/2017  6:04: PM,,1001,,,,222,101,,,100101,CC,0.00,80.50,,4.83,0.00,0.00,0.00,0.00,0.00,,85.33,80.50,
12/1/2017  6:08: PM,,1001,,,,223,101,,,100101,CC,0.00,66.00,,3.96,0.00,0.00,0.00,0.00,0.00,,69.96,66.00,
12/1/2017  6:13: PM,,1001,,,,224,101,,,100101,CA,0.00,3.00,,0.18,0.00,0.00,0.00,0.00,0.00,,3.18,3.00,
12/1/2017  6:25: PM,,1001,,,,225,101,,,100101,CC,0.00,25.00,,1.50,0.00,0.00,0.00,0.00,0.00,,26.50,25.00,
12/1/2017  6:35: PM,,1001,,,,226,101,,,100101,CC,0.00,20.00,,1.20,0.00,0.00,0.00,0.00,0.00,,21.20,20.00,
12/1/2017  6:37: PM,,1001,,,,227,101,,,100101,CC,0.00,27.99,,1.68,0.00,0.00,0.00,0.00,0.00,,29.67,27.99,
12/1/2017  6:39: PM,,1001,,,,228,101,,,100101,CC,0.00,34.00,,2.04,0.00,0.00,0.00,0.00,0.00,,36.04,34.00,
12/1/2017  6:44: PM,,1001,,,,229,101,,,100101,CC,0.00,50.99,,3.06,0.00,0.00,0.00,0.00,0.00,,54.05,50.99,
12/1/2017  6:48: PM,,1001,,,,230,101,,,100101,CA,0.00,3.00,,0.18,0.00,0.00,0.00,0.00,0.00,,3.18,3.00,
12/1/2017  6:57: PM,,1001,,,,231,101,,,100101,CC,0.00,13.00,,0.78,0.00,0.00,0.00,0.00,0.00,,13.78,13.00,
12/1/2017  6:58: PM,,1001,,,,232,101,,,100101,CA,0.00,14.00,,0.84,0.00,0.00,0.00,0.00,0.00,,14.84,14.00,
12/1/2017  7:03: PM,,1001,,,,233,101,,,100101,CC,0.00,18.00,,1.08,0.00,0.00,0.00,0.00,0.00,,19.08,18.00,
12/1/2017  7:06: PM,,1001,,,,234,101,,,100101,CC,0.00,15.00,,0.90,0.00,0.00,0.00,0.00,0.00,,15.90,15.00,
12/1/2017  7:10: PM,,1001,,,,235,101,,,100101,CC,0.00,50.00,,3.00,0.00,0.00,0.00,0.00,0.00,,53.00,50.00,
12/1/2017  7:13: PM,,1001,,,,236,101,,,100101,CA,0.00,40.50,,2.43,0.00,0.00,0.00,0.00,0.00,,42.93,40.50,
12/1/2017  7:15: PM,,1001,,,,237,101,,,100101,CC,0.00,14.00,,0.84,0.00,0.00,0.00,0.00,0.00,,14.84,14.00,
12/1/2017  7:16: PM,,1001,,,,238,101,,,100101,CC,0.00,12.00,,0.72,0.00,0.00,0.00,0.00,0.00,,12.72,12.00,
12/1/2017  7:18: PM,,1001,,,,239,101,,,100101,CC,0.00,29.00,,1.74,0.00,0.00,0.00,0.00,0.00,,30.74,29.00,
12/1/2017  7:20: PM,,1001,,,,240,101,,,100101,CC,0.00,15.98,,0.96,0.00,0.00,0.00,0.00,0.00,,16.94,15.98,
12/1/2017  7:22: PM,,1001,,,,241,101,,,100101,CC,0.00,159.98,,9.60,0.00,0.00,0.00,0.00,0.00,,169.58,159.98,
12/1/2017  7:26: PM,,1001,,,,242,101,,,100101,CC,0.00,35.00,,2.10,0.00,0.00,0.00,0.00,0.00,,37.10,35.00,
12/1/2017  7:34: PM,,1001,,,,243,101,,,100101,CC,0.00,12.00,,0.72,0.00,0.00,0.00,0.00,0.00,,12.72,12.00,
12/1/2017  7:46: PM,,1001,,,,244,101,,,100101,CC,0.00,16.00,,0.96,0.00,0.00,0.00,0.00,0.00,,16.96,16.00,
12/1/2017  7:48: PM,,1001,,,,245,101,,,100101,CC,0.00,102.95,,6.18,0.00,0.00,0.00,0.00,0.00,,109.13,102.95,
12/1/2017  7:51: PM,,1001,,,,246,101,,,100101,CC,0.00,9.50,,0.57,0.00,0.00,0.00,0.00,0.00,,10.07,9.50,
12/1/2017  7:55: PM,,1001,,,,247,101,,,100101,CC,0.00,15.00,,0.90,0.00,0.00,0.00,0.00,0.00,,15.90,15.00,
12/1/2017  7:58: PM,,1001,,,,248,101,,,100101,CA,0.00,10.00,,0.60,0.00,0.00,0.00,0.00,0.00,,10.60,10.00,
12/1/2017  7:59: PM,,1001,,,,249,101,,,100101,CC,0.00,12.00,,0.72,0.00,0.00,0.00,0.00,0.00,,12.72,12.00,
12/1/2017  8:06: PM,,1001,,,,250,101,,,100101,CC,0.00,169.00,,10.14,0.00,0.00,0.00,0.00,0.00,,179.14,169.00,
12/1/2017  8:10: PM,,1001,,,,251,101,,,100101,CC,0.00,16.50,,0.99,0.00,0.00,0.00,0.00,0.00,,17.49,16.50,
12/1/2017  8:13: PM,,1001,,,,252,101,,,100101,CA,0.00,3.00,,0.18,0.00,0.00,0.00,0.00,0.00,,3.18,3.00,
12/1/2017  8:14: PM,,1001,,,,253,101,,,100101,CA,0.00,15.00,,0.90,0.00,0.00,0.00,0.00,0.00,,15.90,15.00,
12/1/2017  8:19: PM,,1001,,,,254,101,,,100101,CC,0.00,50.00,,3.00,0.00,0.00,0.00,0.00,0.00,,53.00,50.00,
12/1/2017  8:33: PM,,1001,,,,255,101,,,100101,CC,0.00,40.00,,2.40,0.00,0.00,0.00,0.00,0.00,,42.40,40.00,
12/1/2017  8:35: PM,,1001,,,,256,101,,,100101,CC,0.00,42.00,,2.52,0.00,0.00,0.00,0.00,0.00,,44.52,42.00,
